created_at	id	text	truncated	source	in_reply_to_status_id	in_reply_to_status_id_str	in_reply_to_user_id	in_reply_to_user_id_str	in_reply_to_screen_name	geo	coordinates	place	contributors	is_quote_status	retweet_count	favorite_count	favorited	retweeted	possibly_sensitive	lang	User_id	User_name	User_screen_name	User_location	User_url	User_followers_count	User_friends_count	User_favourites_count	User_utc_offset	time_zone	Tweet_data	
Tue Apr 26 00:39:07 +0000 2022	1518751492932444160	RT @djrothkopf: The richest guy on the 2021 Forbes 400 owns the Washington Post. Number 2 now owns Twitter. Number 3 owns Facebook. Numbers…	False	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	None	None	None	None	None	None	None	None	None	False	12983	0	False	False		en	15101488	MotherBloggingLiberal	MBLJmarks	Seattle, WA	https://t.co/CDxhki4kN0	508	1860	1377	None	None	The richest guy on the 2021 Forbes 400 owns the Washington Post. Number 2 now owns Twitter. Number 3 owns Facebook. Numbers 5 and 6 started Google. Numbers 4 and 9 started Microsoft. Number 10 owns Bloomberg. Free speech? You decide.
Tue Apr 26 00:39:07 +0000 2022	1518751492530143233	RT @Mysta_Rias: I WILL BE ATTENDING @AnimeFestOrg !.Here is a special discount just for you 🧡🦊.https://t.co/4SwZ9mEBi2.I will be doing a Q&amp;…	False	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>	None	None	None	None	None	None	None	None	None	False	656	0	False	False	False	en	528595078	Ling Chen_Rias	LC_Rias		None	18	97	12471	None	None	I WILL BE ATTENDING @AnimeFestOrg !.Here is a special discount just for you 🧡🦊.https://t.co/4SwZ9mEBi2.I will be doing a Q&amp;A panel with everyone in Luxiem on July 30th, 2022.Submit questions for the us here: https://t.co/UNYZ6U5UYL https://t.co/Pyc2j4qHlp
Tue Apr 26 00:39:07 +0000 2022	1518751492496318464	RT @NBA: Marcus Smart finds Time-Lord on the lob!..Smart has 10 dimes for the @celtics...#NBAPlayoffs presented by Google Pixel on TNT http…	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	False	10	0	False	False		en	128757675	fernando corona Fish	fishtrenado	mexico d.f. 	None	1372	5002	689019	None	None	Marcus Smart finds Time-Lord on the lob!..Smart has 10 dimes for the @celtics...#NBAPlayoffs presented by Google Pixel on TNT https://t.co/ZfQ7eX8lQI
Tue Apr 26 00:39:06 +0000 2022	1518751489522647045	RT @NBA: Marcus Smart finds Time-Lord on the lob!..Smart has 10 dimes for the @celtics...#NBAPlayoffs presented by Google Pixel on TNT http…	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	False	10	0	False	False		en	237043350	murph50	1alvo_lad	Wilmington, NC	None	1102	1498	2027	None	None	Marcus Smart finds Time-Lord on the lob!..Smart has 10 dimes for the @celtics...#NBAPlayoffs presented by Google Pixel on TNT https://t.co/ZfQ7eX8lQI
Tue Apr 26 00:39:05 +0000 2022	1518751486125035520	RT @JonErlichman: Acquisition prices:..Twitter: $44 billion (Elon Musk).Slack: $28 billion (Salesforce).LinkedIn: $26 billion (Microsoft).W…	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	False	1672	0	False	False		en	220195454	Adilah Arshad	AdilahArshad		None	910	533	5091	None	None	Acquisition prices:..Twitter: $44 billion (Elon Musk).Slack: $28 billion (Salesforce).LinkedIn: $26 billion (Microsoft).WhatsApp: $19 billion (Facebook).Skype: $8.5 billion (Microsoft).YouTube: $1.65 billion (Google).Tumblr: $1.1 billion (Yahoo).Instagram: $1 billion (Facebook)
Tue Apr 26 00:39:05 +0000 2022	1518751485512896512	RT @IRENEadvocates: 🚨Start the mass email for IRENE NOW.🚨..PLEASE READ THE INSTRUCTIONS FIRST...📣 Link:.https://t.co/dZ7A5ttzr1..There are…	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	False	31	0	False	False	False	en	1375510044394057731	ONLY IRENE	irenemaingirl		None	126	113	7406	None	None	🚨Start the mass email for IRENE NOW.🚨..PLEASE READ THE INSTRUCTIONS FIRST...📣 Link:.https://t.co/dZ7A5ttzr1..There are 3 email templates (English, Korean, Chinese versions).DATE: APR26/22 @ 9AM and 11AM KST..#IRENEDESERVESMORE..PLEASE REMAIN RESPECTFUL. https://t.co/0OKtyxwNTz
Tue Apr 26 00:39:05 +0000 2022	1518751485491773440	Ans this idiot gets paid to be 'informed'..Dude can't even do a simple Google search 🤦‍♂️ https://t.co/aQq7Ou3Bjx	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	True	0	0	False	False	False	en	708779350045253632	Joe Broder	JoeBroder3	Santa Clarita, CA	None	293	197	10109	None	None	Ans this idiot gets paid to be 'informed'..Dude can't even do a simple Google search 🤦‍♂️ https://t.co/aQq7Ou3Bjx
Tue Apr 26 00:39:04 +0000 2022	1518751479758491649	RT @Cindot_Fc: RANKING | YoonA rank for Most Search on Google Korea 1st Quarter 2022! ..#9 for Most Searched Female Idol.#9 for Most Search…	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	False	18	0	False	False		en	614276129	beautifulyoongie	140775MD		None	3287	423	139783	None	None	RANKING | YoonA rank for Most Search on Google Korea 1st Quarter 2022! ..#9 for Most Searched Female Idol.#9 for Most Searched Korean Actress..Its so amazing to see her name in 2 different category 🧡..Fyi, YoonA is not Active as an Idol &amp; her acting projects havent aired yet https://t.co/DBFUWJK1Pb
Tue Apr 26 00:39:02 +0000 2022	1518751473282265091	Who is going to buy Google next..Google Embraces Woke Culture: You Will Now Be Flagged for Using Politically Incorr… https://t.co/xsmOSRHTmL	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	False	0	0	False	False	False	en	1479268023659896839	Jimmy Acosta	JimmyAc92434764	Florida, USA	None	578	1268	5603	None	None	Who is going to buy Google next..Google Embraces Woke Culture: You Will Now Be Flagged for Using Politically Incorrect Words While Searching.https://t.co/ImHf2G4yR2
Tue Apr 26 00:39:02 +0000 2022	1518751472355352576	When I was young my I.Q. score was very high, but as I grew older I identified with people with low I.Q.s As a tran… https://t.co/JlnOLyqOUg	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	False	0	0	False	False	False	en	1518706747715821570	David Peel	DavidJPeel		None	0	0	0	None	None	When I was young my I.Q. score was very high, but as I grew older I identified with people with low I.Q.s As a transintellectual do I qualify for the special Olympics? #LiaThomas #Paralympics #TransgenderAtheletes TransintellectualAthletes https://t.co/RVPxSncoFa
